date,PG,PG_EPS,PE Ratio
1990-06-22,10.41,,
1990-06-25,10.27,,
1990-06-26,10.28,,
1990-06-27,10.47,,
1990-06-28,10.72,,
1990-06-29,10.89,,
1990-07-02,11.03,,
1990-07-03,11.05,,
1990-07-05,10.95,,
1990-07-06,11.13,,
1990-07-09,11.16,,
1990-07-10,11.05,,
1990-07-11,11.16,,
1990-07-12,11.36,,
1990-07-13,11.27,,
1990-07-16,11.23,,
1990-07-17,11.22,,
1990-07-18,11.13,,
1990-07-19,11.06,,
1990-07-20,11.06,,
1990-07-23,10.84,,
1990-07-24,10.88,,
1990-07-25,10.84,,
1990-07-26,10.86,,
1990-07-27,10.77,,
1990-07-30,10.86,,
1990-07-31,10.84,,
1990-08-01,10.69,,
1990-08-02,10.28,,
1990-08-03,10.0,,
1990-08-06,9.45,,
1990-08-07,9.66,,
1990-08-08,10.0,,
1990-08-09,10.11,,
1990-08-10,9.98,,
1990-08-13,10.22,,
1990-08-14,10.34,,
1990-08-15,10.44,,
1990-08-16,10.08,,
1990-08-17,9.84,,
1990-08-20,9.78,,
1990-08-21,9.5,,
1990-08-22,9.27,,
1990-08-23,8.89,,
1990-08-24,8.98,,
1990-08-27,9.48,,
1990-08-28,9.63,,
1990-08-29,9.73,,
1990-08-30,9.53,,
1990-08-31,9.63,,
1990-09-04,9.7,,
1990-09-05,9.7,,
1990-09-06,9.56,,
1990-09-07,9.75,,
1990-09-10,9.63,,
1990-09-11,9.64,,
1990-09-12,9.64,,
1990-09-13,9.55,,
1990-09-14,9.39,,
1990-09-17,9.45,,
1990-09-18,9.55,,
1990-09-19,9.41,,
1990-09-20,9.25,,
1990-09-21,9.0,,
1990-09-24,8.95,,
1990-09-25,9.19,,
1990-09-26,9.02,,
1990-09-27,9.05,,
1990-09-28,9.11,,
1990-10-01,9.63,,
1990-10-02,9.72,,
1990-10-03,9.64,,
1990-10-04,9.83,,
1990-10-05,9.89,,
1990-10-08,10.0,,
1990-10-09,9.61,,
1990-10-10,9.42,,
1990-10-11,9.19,,
1990-10-12,9.42,,
1990-10-15,9.56,,
1990-10-16,9.47,,
1990-10-17,9.36,,
1990-10-18,9.77,,
1990-10-19,10.05,,
1990-10-22,10.17,,
1990-10-23,10.14,,
1990-10-24,10.08,,
1990-10-25,9.8,,
1990-10-26,9.7,,
1990-10-29,9.7,,
1990-10-30,9.88,,
1990-10-31,9.83,,
1990-11-01,9.88,,
1990-11-02,9.94,,
1990-11-05,9.95,,
1990-11-06,9.98,,
1990-11-07,9.84,,
1990-11-08,9.91,,
1990-11-09,10.08,,
1990-11-12,10.25,,
1990-11-13,10.14,,
1990-11-14,10.33,,
1990-11-15,10.2,,
1990-11-16,10.11,,
1990-11-19,10.23,,
1990-11-20,10.19,,
1990-11-21,10.22,,
1990-11-23,10.22,,
1990-11-26,10.2,,
1990-11-27,10.23,,
1990-11-28,10.25,,
1990-11-29,10.19,,
1990-11-30,10.36,,
1990-12-03,10.39,,
1990-12-04,10.48,,
1990-12-05,10.59,,
1990-12-06,10.58,,
1990-12-07,10.63,,
1990-12-10,10.66,,
1990-12-11,10.72,,
1990-12-12,10.84,,
1990-12-13,10.81,,
1990-12-14,10.73,,
1990-12-17,10.72,,
1990-12-18,10.86,,
1990-12-19,10.8,,
1990-12-20,10.81,,
1990-12-21,10.8,,
1990-12-24,10.8,,
1990-12-26,10.83,,
1990-12-27,10.75,,
1990-12-28,10.73,,
1990-12-31,10.83,,
1991-01-02,10.69,,
1991-01-03,10.58,,
1991-01-04,10.47,,
1991-01-07,10.25,,
1991-01-08,10.23,,
1991-01-09,9.98,,
1991-01-10,10.11,,
1991-01-11,10.03,,
1991-01-14,9.94,,
1991-01-15,10.0,,
1991-01-16,10.05,,
1991-01-17,10.38,,
1991-01-18,10.25,,
1991-01-21,10.16,,
1991-01-22,10.03,,
1991-01-23,9.91,,
1991-01-24,9.78,,
1991-01-25,10.0,,
1991-01-28,9.69,,
1991-01-29,9.59,,
1991-01-30,9.59,,
1991-01-31,9.91,,
1991-02-01,9.95,,
1991-02-04,10.03,,
1991-02-05,10.02,,
1991-02-06,10.33,,
1991-02-07,10.19,,
1991-02-08,10.28,,
1991-02-11,10.59,,
1991-02-12,10.55,,
1991-02-13,10.5,,
1991-02-14,10.33,,
1991-02-15,10.63,,
1991-02-19,10.5,,
1991-02-20,10.36,,
1991-02-21,10.19,,
1991-02-22,10.31,,
1991-02-25,10.47,,
1991-02-26,10.47,,
1991-02-27,10.2,,
1991-02-28,10.16,,
1991-03-01,10.25,,
1991-03-04,10.39,,
1991-03-05,10.59,,
1991-03-06,10.63,,
1991-03-07,10.66,,
1991-03-08,10.88,,
1991-03-11,10.63,,
1991-03-12,10.56,,
1991-03-13,10.61,,
1991-03-14,10.73,,
1991-03-15,10.72,,
1991-03-18,10.75,,
1991-03-19,10.38,,
1991-03-20,10.45,,
1991-03-21,10.41,,
1991-03-22,10.28,,
1991-03-25,10.34,,
1991-03-26,10.63,,
1991-03-27,10.58,,
1991-03-28,10.64,,
1991-04-01,10.58,,
1991-04-02,10.66,,
1991-04-03,10.63,,
1991-04-04,10.64,,
1991-04-05,10.59,,
1991-04-08,10.63,,
1991-04-09,10.55,,
1991-04-10,10.44,,
1991-04-11,10.69,,
1991-04-12,10.94,,
1991-04-15,10.94,,
1991-04-16,11.17,,
1991-04-17,11.19,,
1991-04-18,11.16,,
1991-04-19,10.91,,
1991-04-22,10.77,,
1991-04-23,10.61,,
1991-04-24,10.5,,
1991-04-25,10.38,,
1991-04-26,10.47,,
1991-04-29,10.41,,
1991-04-30,10.48,,
1991-05-01,10.45,,
1991-05-02,10.45,,
1991-05-03,10.42,,
1991-05-06,10.34,,
1991-05-07,10.27,,
1991-05-08,10.34,,
1991-05-09,10.41,,
1991-05-10,10.3,,
1991-05-13,10.33,,
1991-05-14,10.23,,
1991-05-15,10.27,,
1991-05-16,10.27,,
1991-05-17,10.25,,
1991-05-20,10.27,,
1991-05-21,10.27,,
1991-05-22,10.33,,
1991-05-23,10.31,,
1991-05-24,10.31,,
1991-05-28,10.41,,
1991-05-29,10.45,,
1991-05-30,10.69,,
1991-05-31,10.64,,
1991-06-03,10.48,,
1991-06-04,10.47,,
1991-06-05,10.38,,
1991-06-06,10.3,,
1991-06-07,10.34,,
1991-06-10,10.33,,
1991-06-11,10.42,,
1991-06-12,10.38,,
1991-06-13,10.48,,
1991-06-14,10.56,,
1991-06-17,10.59,,
1991-06-18,10.42,,
1991-06-19,10.13,,
1991-06-20,10.05,,
1991-06-21,10.02,,
1991-06-24,9.84,,
1991-06-25,9.7,,
1991-06-26,9.67,,
1991-06-27,9.66,,
1991-06-28,9.67,,
1991-07-01,9.94,,
1991-07-02,9.95,,
1991-07-03,9.86,,
1991-07-05,9.88,,
1991-07-08,9.98,,
1991-07-09,9.91,,
1991-07-10,9.89,,
1991-07-11,9.92,,
1991-07-12,10.0,,
1991-07-15,10.05,,
1991-07-16,10.05,,
1991-07-17,10.0,,
1991-07-18,10.03,,
1991-07-19,10.05,,
1991-07-22,10.0,,
1991-07-23,9.8,,
1991-07-24,9.92,,
1991-07-25,9.92,,
1991-07-26,9.86,,
1991-07-29,9.94,,
1991-07-30,10.14,,
1991-07-31,10.09,,
1991-08-01,10.08,,
1991-08-02,10.13,,
1991-08-05,10.2,,
1991-08-06,10.39,,
1991-08-07,10.28,,
1991-08-08,10.16,,
1991-08-09,10.14,,
1991-08-12,10.27,,
1991-08-13,10.33,,
1991-08-14,10.34,,
1991-08-15,10.36,,
1991-08-16,10.27,,
1991-08-19,10.0,,
1991-08-20,10.05,,
1991-08-21,10.22,,
1991-08-22,10.19,,
1991-08-23,10.41,,
1991-08-26,10.34,,
1991-08-27,10.39,,
1991-08-28,10.38,,
1991-08-29,10.44,,
1991-08-30,10.44,,
1991-09-03,10.33,,
1991-09-04,10.39,,
1991-09-05,10.34,,
1991-09-06,10.33,,
1991-09-09,10.28,,
1991-09-10,10.28,,
1991-09-11,10.28,,
1991-09-12,10.38,,
1991-09-13,10.34,,
1991-09-16,10.5,,
1991-09-17,10.48,,
1991-09-18,10.59,,
1991-09-19,10.64,,
1991-09-20,10.55,,
1991-09-23,10.48,,
1991-09-24,10.59,,
1991-09-25,10.53,,
1991-09-26,10.44,,
1991-09-27,10.48,,
1991-09-30,10.61,,
1991-10-01,10.61,,
1991-10-02,10.58,,
1991-10-03,10.48,,
1991-10-04,10.42,,
1991-10-07,10.47,,
1991-10-08,10.22,,
1991-10-09,10.23,,
1991-10-10,10.41,,
1991-10-11,10.36,,
1991-10-14,10.44,,
1991-10-15,10.47,,
1991-10-16,10.36,,
1991-10-17,10.38,,
1991-10-18,10.36,,
1991-10-21,10.3,,
1991-10-22,10.08,,
1991-10-23,10.08,,
1991-10-24,10.0,,
1991-10-25,10.2,,
1991-10-28,10.39,,
1991-10-29,10.53,,
1991-10-30,10.45,,
1991-10-31,10.45,,
1991-11-01,10.42,,
1991-11-04,10.38,,
1991-11-05,10.41,,
1991-11-06,10.44,,
1991-11-07,10.39,,
1991-11-08,10.33,,
1991-11-11,10.38,,
1991-11-12,10.53,,
1991-11-13,10.52,,
1991-11-14,10.56,,
1991-11-15,10.19,,
1991-11-18,10.3,,
1991-11-19,10.16,,
1991-11-20,10.09,,
1991-11-21,10.06,,
1991-11-22,9.89,,
1991-11-25,10.13,,
1991-11-26,10.17,,
1991-11-27,10.2,,
1991-11-29,10.13,,
1991-12-02,10.3,,
1991-12-03,10.36,,
1991-12-04,10.39,,
1991-12-05,10.34,,
1991-12-06,10.41,,
1991-12-09,10.3,,
1991-12-10,10.31,,
1991-12-11,10.33,,
1991-12-12,10.38,,
1991-12-13,10.48,,
1991-12-16,10.59,,
1991-12-17,10.63,,
1991-12-18,10.63,,
1991-12-19,10.72,,
1991-12-20,10.8,,
1991-12-23,10.95,,
1991-12-24,10.95,,
1991-12-26,11.16,,
1991-12-27,11.3,,
1991-12-30,11.72,,
1991-12-31,11.73,,
1992-01-02,11.63,,
1992-01-03,11.56,,
1992-01-06,11.48,,
1992-01-07,11.48,,
1992-01-08,11.5,,
1992-01-09,11.56,,
1992-01-10,11.72,,
1992-01-13,11.77,,
1992-01-14,12.11,,
1992-01-15,11.91,,
1992-01-16,11.58,,
1992-01-17,11.28,,
1992-01-20,11.42,,
1992-01-21,11.56,,
1992-01-22,11.98,,
1992-01-23,12.25,,
1992-01-24,12.28,,
1992-01-27,12.14,,
1992-01-28,12.83,,
1992-01-29,13.02,,
1992-01-30,12.91,,
1992-01-31,12.97,,
1992-02-03,12.61,,
1992-02-04,12.73,,
1992-02-05,13.0,,
1992-02-06,12.67,,
1992-02-07,12.58,,
1992-02-10,12.58,,
1992-02-11,12.53,,
1992-02-12,12.63,,
1992-02-13,12.55,,
1992-02-14,12.5,,
1992-02-18,12.28,,
1992-02-19,12.36,,
1992-02-20,12.58,,
1992-02-21,12.78,,
1992-02-24,12.73,,
1992-02-25,12.58,,
1992-02-26,12.63,,
1992-02-27,12.73,,
1992-02-28,12.7,,
1992-03-02,12.69,,
1992-03-03,12.78,,
1992-03-04,12.7,,
1992-03-05,12.47,,
1992-03-06,12.39,,
1992-03-09,12.34,,
1992-03-10,12.42,,
1992-03-11,12.31,,
1992-03-12,12.33,,
1992-03-13,12.36,,
1992-03-16,12.31,,
1992-03-17,12.48,,
1992-03-18,12.39,,
1992-03-19,12.42,,
1992-03-20,12.56,,
1992-03-23,12.5,,
1992-03-24,12.56,,
1992-03-25,12.64,,
1992-03-26,12.63,,
1992-03-27,12.5,,
1992-03-30,12.52,,
1992-03-31,12.78,,
1992-04-01,12.8,,
1992-04-02,12.67,,
1992-04-03,12.75,,
1992-04-06,12.59,,
1992-04-07,12.22,,
1992-04-08,12.08,,
1992-04-09,12.34,,
1992-04-10,12.47,,
1992-04-13,12.5,,
1992-04-14,13.06,,
1992-04-15,13.06,,
1992-04-16,12.92,,
1992-04-20,12.5,,
1992-04-21,12.56,,
1992-04-22,12.55,,
1992-04-23,12.47,,
1992-04-24,12.77,,
1992-04-27,12.94,,
1992-04-28,12.72,,
1992-04-29,12.58,,
1992-04-30,12.91,,
1992-05-01,12.78,,
1992-05-04,12.95,,
1992-05-05,12.7,,
1992-05-06,12.88,,
1992-05-07,12.94,,
1992-05-08,13.06,,
1992-05-11,13.08,,
1992-05-12,12.95,,
1992-05-13,12.98,,
1992-05-14,13.05,,
1992-05-15,13.0,,
1992-05-18,13.03,,
1992-05-19,13.0,,
1992-05-20,12.92,,
1992-05-21,12.92,,
1992-05-22,12.81,,
1992-05-26,12.72,,
1992-05-27,12.92,,
1992-05-28,12.94,,
1992-05-29,12.84,,
1992-06-01,13.03,,
1992-06-02,12.88,,
1992-06-03,12.98,,
1992-06-04,12.88,,
1992-06-05,12.58,,
1992-06-08,12.75,,
1992-06-09,12.56,,
1992-06-10,12.42,,
1992-06-11,12.42,,
1992-06-12,12.5,,
1992-06-15,12.41,,
1992-06-16,12.22,,
1992-06-17,11.63,,
1992-06-18,11.53,,
1992-06-19,11.59,,
1992-06-22,11.81,,
1992-06-23,11.75,,
1992-06-24,11.69,,
1992-06-25,11.63,,
1992-06-26,11.53,,
1992-06-29,11.47,,
1992-06-30,11.5,,
1992-07-01,11.59,,
1992-07-02,11.94,,
1992-07-06,12.28,,
1992-07-07,12.22,,
1992-07-08,12.22,,
1992-07-09,12.22,,
1992-07-10,12.41,,
1992-07-13,12.5,,
1992-07-14,12.56,,
1992-07-15,12.78,,
1992-07-16,12.78,,
1992-07-17,12.69,,
1992-07-20,12.44,,
1992-07-21,12.66,,
1992-07-22,12.44,,
1992-07-23,12.5,,
1992-07-24,12.38,,
1992-07-27,12.19,,
1992-07-28,12.25,,
1992-07-29,12.34,,
1992-07-30,12.53,,
1992-07-31,12.66,,
1992-08-03,12.69,,
1992-08-04,12.59,,
1992-08-05,12.56,,
1992-08-06,12.41,,
1992-08-07,12.47,,
1992-08-10,12.31,,
1992-08-11,12.06,,
1992-08-12,11.94,,
1992-08-13,12.0,,
1992-08-14,12.06,,
1992-08-17,12.19,,
1992-08-18,12.25,,
1992-08-19,12.13,,
1992-08-20,12.06,,
1992-08-21,12.06,,
1992-08-24,12.0,,
1992-08-25,12.0,,
1992-08-26,11.81,,
1992-08-27,11.91,,
1992-08-28,11.81,,
1992-08-31,11.72,,
1992-09-01,11.69,,
1992-09-02,11.72,,
1992-09-03,11.66,,
1992-09-04,11.59,,
1992-09-08,11.63,,
1992-09-09,11.78,,
1992-09-10,12.13,,
1992-09-11,12.25,,
1992-09-14,12.44,,
1992-09-15,12.16,,
1992-09-16,12.13,,
1992-09-17,12.22,,
1992-09-18,12.19,,
1992-09-21,12.09,,
1992-09-22,11.94,,
1992-09-23,12.22,,
1992-09-24,12.25,,
1992-09-25,12.09,,
1992-09-28,12.19,,
1992-09-29,12.22,,
1992-09-30,12.34,,
1992-10-01,12.34,,
1992-10-02,12.19,,
1992-10-05,12.34,,
1992-10-06,12.41,,
1992-10-07,12.25,,
1992-10-08,12.47,,
1992-10-09,12.31,,
1992-10-12,12.41,,
1992-10-13,12.63,,
1992-10-14,12.72,,
1992-10-15,12.69,,
1992-10-16,12.75,,
1992-10-19,12.91,,
1992-10-20,12.78,,
1992-10-21,12.84,,
1992-10-22,12.97,,
1992-10-23,12.75,,
1992-10-26,13.38,,
1992-10-27,13.25,,
1992-10-28,13.13,,
1992-10-29,13.16,,
1992-10-30,13.22,,
1992-11-02,13.25,,
1992-11-03,13.28,,
1992-11-04,13.03,,
1992-11-05,13.31,,
1992-11-06,13.31,,
1992-11-09,13.16,,
1992-11-10,13.19,,
1992-11-11,13.63,,
1992-11-12,13.63,,
1992-11-13,13.44,,
1992-11-16,13.53,,
1992-11-17,13.38,,
1992-11-18,13.5,,
1992-11-19,13.66,,
1992-11-20,13.56,,
1992-11-23,13.47,,
1992-11-24,13.66,,
1992-11-25,13.63,,
1992-11-27,13.59,,
1992-11-30,13.56,,
1992-12-01,13.44,,
1992-12-02,13.34,,
1992-12-03,13.41,,
1992-12-04,13.31,,
1992-12-07,13.41,,
1992-12-08,13.25,,
1992-12-09,13.38,,
1992-12-10,13.28,,
1992-12-11,13.09,,
1992-12-14,13.06,,
1992-12-15,13.03,,
1992-12-16,13.03,,
1992-12-17,13.19,,
1992-12-18,13.56,,
1992-12-21,13.56,,
1992-12-22,13.69,,
1992-12-23,13.78,,
1992-12-24,13.91,,
1992-12-28,13.72,,
1992-12-29,13.5,,
1992-12-30,13.56,,
1992-12-31,13.41,,
1993-01-04,13.31,,
1993-01-05,13.25,,
1993-01-06,13.0,,
1993-01-07,12.81,,
1993-01-08,12.44,,
1993-01-11,12.31,,
1993-01-12,12.34,,
1993-01-13,12.5,,
1993-01-14,12.63,,
1993-01-15,12.75,,
1993-01-18,12.59,,
1993-01-19,12.44,,
1993-01-20,12.38,,
1993-01-21,12.38,,
1993-01-22,12.56,,
1993-01-25,12.81,,
1993-01-26,12.5,,
1993-01-27,12.41,,
1993-01-28,12.44,,
1993-01-29,12.44,,
1993-02-01,12.56,,
1993-02-02,12.5,,
1993-02-03,12.66,,
1993-02-04,12.72,,
1993-02-05,12.84,,
1993-02-08,13.06,,
1993-02-09,12.94,,
1993-02-10,12.94,,
1993-02-11,13.06,,
1993-02-12,12.72,,
1993-02-16,12.53,,
1993-02-17,12.5,,
1993-02-18,12.38,,
1993-02-19,12.34,,
1993-02-22,12.47,,
1993-02-23,12.69,,
1993-02-24,12.69,,
1993-02-25,12.72,,
1993-02-26,13.0,,
1993-03-01,13.19,,
1993-03-02,13.28,,
1993-03-03,13.31,,
1993-03-04,13.44,,
1993-03-05,13.41,,
1993-03-08,13.59,,
1993-03-09,13.38,,
1993-03-10,13.38,,
1993-03-11,13.31,,
1993-03-12,13.34,,
1993-03-15,13.25,,
1993-03-16,13.25,,
1993-03-17,13.13,,
1993-03-18,13.13,,
1993-03-19,13.06,,
1993-03-22,12.94,,
1993-03-23,12.75,,
1993-03-24,12.59,,
1993-03-25,12.53,,
1993-03-26,12.34,,
1993-03-29,12.38,,
1993-03-30,12.44,,
1993-03-31,12.47,,
1993-04-01,12.47,,
1993-04-02,12.16,,
1993-04-05,11.84,,
1993-04-06,11.69,,
1993-04-07,11.66,,
1993-04-08,11.69,,
1993-04-12,11.81,,
1993-04-13,12.03,,
1993-04-14,12.06,,
1993-04-15,12.28,,
1993-04-16,12.16,,
1993-04-19,11.97,,
1993-04-20,11.88,,
1993-04-21,11.81,,
1993-04-22,11.81,,
1993-04-23,11.84,,
1993-04-26,12.0,,
1993-04-27,12.22,,
1993-04-28,12.03,,
1993-04-29,12.06,,
1993-04-30,12.28,,
1993-05-03,12.25,,
1993-05-04,12.31,,
1993-05-05,12.28,,
1993-05-06,12.0,,
1993-05-07,12.28,,
1993-05-10,12.25,,
1993-05-11,12.38,,
1993-05-12,12.44,,
1993-05-13,12.22,,
1993-05-14,12.31,,
1993-05-17,12.31,,
1993-05-18,12.28,,
1993-05-19,12.56,,
1993-05-20,12.66,,
1993-05-21,12.56,,
1993-05-24,12.47,,
1993-05-25,12.44,,
1993-05-26,12.47,,
1993-05-27,12.25,,
1993-05-28,12.28,,
1993-06-01,12.34,,
1993-06-02,12.38,,
1993-06-03,12.22,,
1993-06-04,12.06,,
1993-06-07,12.03,,
1993-06-08,11.94,,
1993-06-09,11.91,,
1993-06-10,11.97,,
1993-06-11,11.94,,
1993-06-14,12.06,,
1993-06-15,12.06,,
1993-06-16,12.19,,
1993-06-17,12.25,,
1993-06-18,12.25,,
1993-06-21,12.34,,
1993-06-22,12.38,,
1993-06-23,12.31,,
1993-06-24,12.56,,
1993-06-25,12.5,,
1993-06-28,12.72,,
1993-06-29,12.91,,
1993-06-30,13.0,,
1993-07-01,12.94,,
1993-07-02,12.88,,
1993-07-06,12.75,,
1993-07-07,12.97,,
1993-07-08,13.09,,
1993-07-09,13.06,,
1993-07-12,13.25,,
1993-07-13,12.88,,
1993-07-14,13.13,,
1993-07-15,12.91,,
1993-07-16,12.63,,
1993-07-19,12.44,,
1993-07-20,12.56,,
1993-07-21,12.44,,
1993-07-22,12.22,,
1993-07-23,12.16,,
1993-07-26,12.09,,
1993-07-27,12.41,,
1993-07-28,12.28,,
1993-07-29,12.34,,
1993-07-30,12.19,,
1993-08-02,12.16,,
1993-08-03,12.09,,
1993-08-04,11.97,,
1993-08-05,11.84,,
1993-08-06,11.84,,
1993-08-09,11.84,,
1993-08-10,11.56,,
1993-08-11,11.59,,
1993-08-12,11.5,,
1993-08-13,11.38,,
1993-08-16,11.56,,
1993-08-17,11.81,,
1993-08-18,12.28,,
1993-08-19,12.25,,
1993-08-20,12.28,,
1993-08-23,12.0,,
1993-08-24,12.13,,
1993-08-25,12.16,,
1993-08-26,11.97,,
1993-08-27,11.94,,
1993-08-30,11.94,,
1993-08-31,12.09,,
1993-09-01,12.25,,
1993-09-02,12.16,,
1993-09-03,12.25,,
1993-09-07,12.16,,
1993-09-08,12.31,,
1993-09-09,12.03,,
1993-09-10,12.0,,
1993-09-13,11.97,,
1993-09-14,11.94,,
1993-09-15,11.94,,
1993-09-16,12.03,,
1993-09-17,12.0,,
1993-09-20,11.84,,
1993-09-21,11.75,,
1993-09-22,11.5,,
1993-09-23,11.59,,
1993-09-24,11.81,,
1993-09-27,12.0,,
1993-09-28,11.84,,
1993-09-29,11.78,,
1993-09-30,11.88,,
1993-10-01,11.81,,
1993-10-04,11.94,,
1993-10-05,12.34,,
1993-10-06,12.41,,
1993-10-07,12.44,,
1993-10-08,12.38,,
1993-10-11,12.44,,
1993-10-12,12.59,,
1993-10-13,12.5,,
1993-10-14,13.06,,
1993-10-15,13.25,,
1993-10-18,13.16,,
1993-10-19,12.94,,
1993-10-20,13.19,,
1993-10-21,13.06,,
1993-10-22,12.78,,
1993-10-25,13.0,,
1993-10-26,13.03,,
1993-10-27,13.25,,
1993-10-28,13.63,,
1993-10-29,13.56,,
1993-11-01,13.44,,
1993-11-02,13.34,,
1993-11-03,13.06,,
1993-11-04,12.97,,
1993-11-05,13.34,,
1993-11-08,13.59,,
1993-11-09,13.66,,
1993-11-10,14.06,,
1993-11-11,13.91,,
1993-11-12,14.06,,
1993-11-15,14.06,,
1993-11-16,14.25,,
1993-11-17,13.84,,
1993-11-18,13.78,,
1993-11-19,13.94,,
1993-11-22,13.97,,
1993-11-23,13.81,,
1993-11-24,13.84,,
1993-11-26,13.91,,
1993-11-29,14.38,,
1993-11-30,14.19,,
1993-12-01,14.16,,
1993-12-02,14.16,,
1993-12-03,14.25,,
1993-12-06,14.25,,
1993-12-07,14.47,,
1993-12-08,14.41,,
1993-12-09,14.28,,
1993-12-10,14.13,,
1993-12-13,14.25,,
1993-12-14,14.22,,
1993-12-15,13.94,,
