date,MSI,dcf,Deviation
1977-11-09,3.81,,
1977-11-10,3.87,,
1977-11-11,3.94,,
1977-11-14,3.91,,
1977-11-15,3.97,,
1977-11-16,3.84,,
1977-11-17,3.83,,
1977-11-18,3.82,,
1977-11-21,3.79,,
1977-11-22,3.71,,
1977-11-23,3.78,,
1977-11-25,3.76,,
1977-11-28,3.78,,
1977-11-29,3.71,,
1977-11-30,3.67,,
1977-12-01,3.66,,
1977-12-02,3.62,,
1977-12-05,3.59,,
1977-12-06,3.5,,
1977-12-07,3.5,,
1977-12-08,3.45,,
1977-12-09,3.47,,
1977-12-12,3.43,,
1977-12-13,3.42,,
1977-12-14,3.44,,
1977-12-15,3.39,,
1977-12-16,3.43,,
1977-12-19,3.42,,
1977-12-20,3.39,,
1977-12-21,3.5,,
1977-12-22,3.62,,
1977-12-23,3.67,,
1977-12-27,3.67,,
1977-12-28,3.63,,
1977-12-29,3.67,,
1977-12-30,3.68,,
1978-01-03,3.63,,
1978-01-04,3.64,,
1978-01-05,3.64,,
1978-01-06,3.62,,
1978-01-09,3.59,,
1978-01-10,3.59,,
1978-01-11,3.58,,
1978-01-12,3.53,,
1978-01-13,3.56,,
1978-01-16,3.54,,
1978-01-17,3.54,,
1978-01-18,3.64,,
1978-01-19,3.62,,
1978-01-20,3.56,,
1978-01-23,3.56,,
1978-01-24,3.63,,
1978-01-25,3.64,,
1978-01-26,3.62,,
1978-01-27,3.59,,
1978-01-30,3.66,,
1978-01-31,3.63,,
1978-02-01,3.68,,
1978-02-02,3.68,,
1978-02-03,3.59,,
1978-02-06,3.62,,
1978-02-07,3.61,,
1978-02-08,3.61,,
1978-02-09,3.61,,
1978-02-10,3.64,,
1978-02-13,3.66,,
1978-02-14,3.64,,
1978-02-15,3.64,,
1978-02-16,3.63,,
1978-02-17,3.63,,
1978-02-21,3.62,,
1978-02-22,3.63,,
1978-02-23,3.63,,
1978-02-24,3.67,,
1978-02-27,3.61,,
1978-02-28,3.52,,
1978-03-01,3.58,,
1978-03-02,3.57,,
1978-03-03,3.54,,
1978-03-06,3.53,,
1978-03-07,3.57,,
1978-03-08,3.62,,
1978-03-09,3.62,,
1978-03-10,3.62,,
1978-03-13,3.68,,
1978-03-14,3.78,,
1978-03-15,3.74,,
1978-03-16,3.84,,
1978-03-17,3.84,,
1978-03-20,3.87,,
1978-03-21,3.86,,
1978-03-22,3.91,,
1978-03-23,3.92,,
1978-03-27,3.88,,
1978-03-28,3.86,,
1978-03-29,3.93,,
1978-03-30,3.96,,
1978-03-31,3.92,,
1978-04-03,3.88,,
1978-04-04,3.91,,
1978-04-05,3.92,,
1978-04-06,3.91,,
1978-04-07,3.89,,
1978-04-10,3.92,,
1978-04-11,3.79,,
1978-04-12,3.84,,
1978-04-13,3.84,,
1978-04-14,3.87,,
1978-04-17,3.96,,
1978-04-18,4.06,,
1978-04-19,4.2,,
1978-04-20,4.27,,
1978-04-21,4.27,,
1978-04-24,4.38,,
1978-04-25,4.52,,
1978-04-26,4.47,,
1978-04-27,4.4,,
1978-04-28,4.5,,
1978-05-01,4.52,,
1978-05-02,4.56,,
1978-05-03,4.48,,
1978-05-04,4.45,,
1978-05-05,4.55,,
1978-05-08,4.47,,
1978-05-09,4.43,,
1978-05-10,4.48,,
1978-05-11,4.5,,
1978-05-12,4.75,,
1978-05-15,4.86,,
1978-05-16,4.95,,
1978-05-17,4.97,,
1978-05-18,4.75,,
1978-05-19,4.7,,
1978-05-22,4.82,,
1978-05-23,4.72,,
1978-05-24,4.65,,
1978-05-25,4.52,,
1978-05-26,4.52,,
1978-05-30,4.61,,
1978-05-31,4.65,,
1978-06-01,4.7,,
1978-06-02,4.81,,
1978-06-05,5.03,,
1978-06-06,5.09,,
1978-06-07,4.97,,
1978-06-08,4.96,,
1978-06-09,4.87,,
1978-06-12,4.72,,
1978-06-13,4.77,,
1978-06-14,4.66,,
1978-06-15,4.57,,
1978-06-16,4.56,,
1978-06-19,4.6,,
1978-06-20,4.61,,
1978-06-21,4.59,,
1978-06-22,4.65,,
1978-06-23,4.56,,
1978-06-26,4.51,,
1978-06-27,4.52,,
1978-06-28,4.54,,
1978-06-29,4.62,,
1978-06-30,4.62,,
1978-07-03,4.6,,
1978-07-05,4.62,,
1978-07-06,4.62,,
1978-07-07,4.61,,
1978-07-10,4.62,,
1978-07-11,4.69,,
1978-07-12,4.74,,
1978-07-13,4.72,,
1978-07-14,4.82,,
1978-07-17,4.86,,
1978-07-18,4.77,,
1978-07-19,4.86,,
1978-07-20,4.86,,
1978-07-21,4.77,,
1978-07-24,4.79,,
1978-07-25,4.84,,
1978-07-26,4.91,,
1978-07-27,4.96,,
1978-07-28,5.0,,
1978-07-31,5.03,,
1978-08-01,4.94,,
1978-08-02,5.09,,
1978-08-03,5.2,,
1978-08-04,5.3,,
1978-08-07,5.41,,
1978-08-08,5.39,,
1978-08-09,5.48,,
1978-08-10,5.33,,
1978-08-11,5.3,,
1978-08-14,5.33,,
1978-08-15,5.23,,
1978-08-16,5.33,,
1978-08-17,5.3,,
1978-08-18,5.24,,
1978-08-21,5.21,,
1978-08-22,5.19,,
1978-08-23,5.15,,
1978-08-24,5.1,,
1978-08-25,5.03,,
1978-08-28,4.95,,
1978-08-29,4.9,,
1978-08-30,4.9,,
1978-08-31,4.9,,
1978-09-01,4.87,,
1978-09-05,4.97,,
1978-09-06,5.05,,
1978-09-07,5.03,,
1978-09-08,5.18,,
1978-09-11,5.09,,
1978-09-12,4.99,,
1978-09-13,5.03,,
1978-09-14,4.94,,
1978-09-15,4.84,,
1978-09-18,4.7,,
1978-09-19,4.75,,
1978-09-20,4.62,,
1978-09-21,4.62,,
1978-09-22,4.6,,
1978-09-25,4.6,,
1978-09-26,4.61,,
1978-09-27,4.59,,
1978-09-28,4.57,,
1978-09-29,4.51,,
1978-10-02,4.54,,
1978-10-03,4.46,,
1978-10-04,4.32,,
1978-10-05,4.37,,
1978-10-06,4.4,,
1978-10-09,4.45,,
1978-10-10,4.5,,
1978-10-11,4.57,,
1978-10-12,4.48,,
1978-10-13,4.47,,
1978-10-16,4.41,,
1978-10-17,4.25,,
1978-10-18,4.23,,
1978-10-19,4.15,,
1978-10-20,4.22,,
1978-10-23,4.23,,
1978-10-24,4.3,,
1978-10-25,4.22,,
1978-10-26,4.03,,
1978-10-27,4.05,,
1978-10-30,4.15,,
1978-10-31,4.23,,
1978-11-01,4.42,,
1978-11-02,4.32,,
1978-11-03,4.32,,
1978-11-06,4.22,,
1978-11-07,4.12,,
1978-11-08,4.17,,
1978-11-09,4.17,,
1978-11-10,4.2,,
1978-11-13,4.08,,
1978-11-14,3.99,,
1978-11-15,4.05,,
1978-11-16,4.05,,
1978-11-17,4.05,,
1978-11-20,4.08,,
1978-11-21,4.06,,
1978-11-22,4.05,,
1978-11-24,4.06,,
1978-11-27,4.03,,
1978-11-28,3.98,,
1978-11-29,3.93,,
1978-11-30,4.01,,
1978-12-01,4.11,,
1978-12-04,4.15,,
1978-12-05,4.28,,
1978-12-06,4.33,,
1978-12-07,4.35,,
1978-12-08,4.23,,
1978-12-11,4.16,,
1978-12-12,4.02,,
1978-12-13,4.05,,
1978-12-14,4.02,,
1978-12-15,4.02,,
1978-12-18,3.93,,
1978-12-19,3.97,,
1978-12-20,3.99,,
1978-12-21,3.99,,
1978-12-22,3.99,,
1978-12-26,4.02,,
1978-12-27,3.98,,
1978-12-28,3.98,,
1978-12-29,4.01,,
1979-01-02,4.02,,
1979-01-03,4.05,,
1979-01-04,4.12,,
1979-01-05,4.17,,
1979-01-08,4.07,,
1979-01-09,4.05,,
1979-01-10,3.99,,
1979-01-11,4.01,,
1979-01-12,4.21,,
1979-01-15,4.21,,
1979-01-16,4.05,,
1979-01-17,4.08,,
1979-01-18,4.02,,
1979-01-19,3.99,,
1979-01-22,3.98,,
1979-01-23,3.99,,
1979-01-24,3.96,,
1979-01-25,4.02,,
1979-01-26,4.02,,
1979-01-29,3.97,,
1979-01-30,3.99,,
1979-01-31,3.99,,
1979-02-01,4.02,,
1979-02-02,3.98,,
1979-02-05,3.92,,
1979-02-06,3.89,,
1979-02-07,3.77,,
1979-02-08,3.82,,
1979-02-09,3.82,,
1979-02-12,3.82,,
1979-02-13,3.79,,
1979-02-14,3.72,,
1979-02-15,3.74,,
1979-02-16,3.69,,
1979-02-20,3.68,,
1979-02-21,3.64,,
1979-02-22,3.66,,
1979-02-23,3.67,,
1979-02-26,3.69,,
1979-02-27,3.64,,
1979-02-28,3.64,,
1979-03-01,3.71,,
1979-03-02,3.76,,
1979-03-05,3.77,,
1979-03-06,3.72,,
1979-03-07,3.73,,
1979-03-08,3.74,,
1979-03-09,3.79,,
1979-03-12,3.74,,
1979-03-13,3.81,,
1979-03-14,3.77,,
1979-03-15,3.76,,
1979-03-16,3.79,,
1979-03-19,3.84,,
1979-03-20,3.87,,
1979-03-21,3.89,,
1979-03-22,3.88,,
1979-03-23,3.88,,
1979-03-26,3.87,,
1979-03-27,3.87,,
1979-03-28,3.86,,
1979-03-29,3.88,,
1979-03-30,3.86,,
1979-04-02,3.88,,
1979-04-03,3.89,,
1979-04-04,3.89,,
1979-04-05,3.92,,
1979-04-06,3.91,,
1979-04-09,3.92,,
1979-04-10,3.94,,
1979-04-11,3.99,,
1979-04-12,4.01,,
1979-04-16,4.01,,
1979-04-17,4.07,,
1979-04-18,4.25,,
1979-04-19,4.2,,
1979-04-20,4.15,,
1979-04-23,4.27,,
1979-04-24,4.23,,
1979-04-25,4.22,,
1979-04-26,4.23,,
1979-04-27,4.27,,
1979-04-30,4.3,,
1979-05-01,4.25,,
1979-05-02,4.26,,
1979-05-03,4.27,,
1979-05-04,4.22,,
1979-05-07,4.18,,
1979-05-08,4.22,,
1979-05-09,4.23,,
1979-05-10,4.21,,
1979-05-11,4.22,,
1979-05-14,4.23,,
1979-05-15,4.25,,
1979-05-16,4.25,,
1979-05-17,4.33,,
1979-05-18,4.3,,
1979-05-21,4.47,,
1979-05-22,4.43,,
1979-05-23,4.32,,
1979-05-24,4.3,,
1979-05-25,4.31,,
1979-05-29,4.33,,
1979-05-30,4.25,,
1979-05-31,4.37,,
1979-06-01,4.42,,
1979-06-04,4.4,,
1979-06-05,4.62,,
1979-06-06,4.56,,
1979-06-07,4.56,,
1979-06-08,4.5,,
1979-06-11,4.51,,
1979-06-12,4.65,,
1979-06-13,4.56,,
1979-06-14,4.5,,
1979-06-15,4.55,,
1979-06-18,4.47,,
1979-06-19,4.5,,
1979-06-20,4.51,,
1979-06-21,4.55,,
1979-06-22,4.6,,
1979-06-25,4.59,,
1979-06-26,4.56,,
1979-06-27,4.6,,
1979-06-28,4.62,,
1979-06-29,4.59,,
1979-07-02,4.57,,
1979-07-03,4.55,,
1979-07-05,4.55,,
1979-07-06,4.52,,
1979-07-09,4.52,,
1979-07-10,4.52,,
1979-07-11,4.5,,
1979-07-12,4.45,,
1979-07-13,4.28,,
1979-07-16,4.28,,
1979-07-17,4.15,,
1979-07-18,4.22,,
1979-07-19,4.26,,
1979-07-20,4.2,,
1979-07-23,4.18,,
1979-07-24,4.17,,
1979-07-25,4.17,,
1979-07-26,4.22,,
1979-07-27,4.33,,
1979-07-30,4.35,,
1979-07-31,4.43,,
1979-08-01,4.5,,
1979-08-02,4.55,,
1979-08-03,4.5,,
1979-08-06,4.6,,
1979-08-07,4.69,,
1979-08-08,4.75,,
1979-08-09,4.7,,
1979-08-10,4.7,,
1979-08-13,4.76,,
1979-08-14,4.8,,
1979-08-15,4.9,,
1979-08-16,4.9,,
1979-08-17,4.97,,
1979-08-20,5.08,,
1979-08-21,5.01,,
1979-08-22,4.96,,
1979-08-23,4.9,,
1979-08-24,4.91,,
1979-08-27,4.97,,
1979-08-28,4.92,,
1979-08-29,4.9,,
1979-08-30,4.82,,
1979-08-31,4.89,,
1979-09-04,4.85,,
1979-09-05,4.82,,
1979-09-06,4.85,,
1979-09-07,4.87,,
1979-09-10,4.92,,
1979-09-11,4.84,,
1979-09-12,4.87,,
1979-09-13,5.0,,
1979-09-14,5.03,,
1979-09-17,5.0,,
1979-09-18,4.99,,
1979-09-19,4.91,,
1979-09-20,5.1,,
1979-09-21,5.15,,
1979-09-24,5.13,,
1979-09-25,5.2,,
1979-09-26,5.18,,
1979-09-27,5.26,,
1979-09-28,5.24,,
1979-10-01,5.18,,
1979-10-02,5.38,,
1979-10-03,5.45,,
1979-10-04,5.54,,
1979-10-05,5.48,,
1979-10-08,5.3,,
1979-10-09,4.97,,
1979-10-10,5.01,,
1979-10-11,4.95,,
1979-10-12,4.82,,
1979-10-15,4.82,,
1979-10-16,4.72,,
1979-10-17,4.71,,
1979-10-18,4.74,,
1979-10-19,4.46,,
1979-10-22,4.45,,
1979-10-23,4.5,,
1979-10-24,4.57,,
1979-10-25,4.64,,
1979-10-26,4.71,,
1979-10-29,4.81,,
1979-10-30,4.92,,
1979-10-31,4.82,,
1979-11-01,4.84,,
1979-11-02,4.87,,
1979-11-05,4.77,,
1979-11-06,4.7,,
1979-11-07,4.61,,
1979-11-08,4.65,,
1979-11-09,4.79,,
1979-11-12,4.99,,
1979-11-13,4.94,,
1979-11-14,4.92,,
1979-11-15,4.92,,
1979-11-16,4.92,,
1979-11-19,4.9,,
1979-11-20,4.82,,
1979-11-21,4.82,,
1979-11-23,4.92,,
1979-11-26,4.96,,
1979-11-27,4.95,,
1979-11-28,4.92,,
1979-11-29,4.94,,
1979-11-30,4.99,,
1979-12-03,4.95,,
1979-12-04,5.13,,
1979-12-05,5.2,,
1979-12-06,5.18,,
1979-12-07,5.13,,
1979-12-10,5.08,,
1979-12-11,5.05,,
1979-12-12,5.04,,
1979-12-13,5.01,,
1979-12-14,5.18,,
1979-12-17,5.23,,
1979-12-18,5.1,,
1979-12-19,5.19,,
1979-12-20,5.24,,
1979-12-21,5.21,,
1979-12-24,5.2,,
1979-12-26,5.2,,
1979-12-27,5.18,,
1979-12-28,5.18,,
1979-12-31,5.14,,
1980-01-02,4.82,,
1980-01-03,4.72,,
1980-01-04,4.87,,
1980-01-07,5.0,,
1980-01-08,5.45,,
1980-01-09,5.4,,
1980-01-10,5.48,,
1980-01-11,5.38,,
1980-01-14,5.41,,
1980-01-15,5.51,,
1980-01-16,5.65,,
1980-01-17,5.6,,
1980-01-18,5.59,,
1980-01-21,5.72,,
1980-01-22,5.64,,
1980-01-23,5.67,,
1980-01-24,5.55,,
1980-01-25,5.63,,
1980-01-28,5.95,,
1980-01-29,6.0,,
1980-01-30,5.88,,
1980-01-31,5.9,,
1980-02-01,5.93,,
1980-02-04,5.95,,
1980-02-05,5.97,,
1980-02-06,6.21,,
1980-02-07,6.22,,
1980-02-08,6.19,,
1980-02-11,6.06,,
1980-02-12,5.94,,
1980-02-13,6.18,,
1980-02-14,5.98,,
1980-02-15,5.93,,
1980-02-19,5.83,,
1980-02-20,5.8,,
1980-02-21,5.85,,
1980-02-22,5.93,,
1980-02-25,5.83,,
1980-02-26,5.79,,
1980-02-27,5.63,,
1980-02-28,5.62,,
1980-02-29,5.65,,
1980-03-03,5.58,,
1980-03-04,5.53,,
1980-03-05,5.39,,
1980-03-06,5.41,,
1980-03-07,5.48,,
1980-03-10,5.58,,
1980-03-11,5.84,,
1980-03-12,5.69,,
1980-03-13,5.63,,
1980-03-14,5.65,,
1980-03-17,5.43,,
1980-03-18,5.35,,
1980-03-19,5.33,,
1980-03-20,5.28,,
1980-03-21,5.16,,
1980-03-24,4.94,,
1980-03-25,5.0,,
1980-03-26,5.03,,
1980-03-27,4.9,,
1980-03-28,5.21,,
1980-03-31,5.24,,
1980-04-01,5.13,,
1980-04-02,5.11,,
1980-04-03,5.14,,
1980-04-07,4.69,,
1980-04-08,4.85,,
1980-04-09,4.9,,
1980-04-10,4.95,,
1980-04-11,4.86,,
1980-04-14,4.77,,
1980-04-15,4.76,,
1980-04-16,4.6,,
1980-04-17,4.52,,
1980-04-18,4.32,,
1980-04-21,4.16,,
1980-04-22,4.37,,
1980-04-23,4.52,,
1980-04-24,4.65,,
1980-04-25,4.66,,
1980-04-28,4.84,,
1980-04-29,4.79,,
1980-04-30,4.81,,
1980-05-01,4.65,,
1980-05-02,4.64,,
1980-05-05,4.65,,
1980-05-06,4.62,,
1980-05-07,4.66,,
1980-05-08,4.52,,
1980-05-09,4.47,,
1980-05-12,4.5,,
1980-05-13,4.65,,
1980-05-14,4.57,,
1980-05-15,4.66,,
1980-05-16,4.64,,
1980-05-19,4.65,,
1980-05-20,4.71,,
1980-05-21,4.67,,
1980-05-22,4.74,,
1980-05-23,4.72,,
1980-05-27,4.72,,
1980-05-28,4.82,,
1980-05-29,4.69,,
1980-05-30,4.76,,
1980-06-02,4.79,,
1980-06-03,4.71,,
1980-06-04,4.86,,
1980-06-05,4.76,,
1980-06-06,4.71,,
1980-06-09,4.66,,
1980-06-10,4.77,,
1980-06-11,4.87,,
1980-06-12,4.9,,
1980-06-13,4.94,,
1980-06-16,4.91,,
1980-06-17,4.87,,
1980-06-18,4.85,,
1980-06-19,4.74,,
1980-06-20,4.76,,
1980-06-23,4.76,,
1980-06-24,4.81,,
1980-06-25,4.92,,
1980-06-26,4.94,,
1980-06-27,4.91,,
1980-06-30,4.84,,
1980-07-01,4.94,,
1980-07-02,5.01,,
1980-07-03,5.15,,
1980-07-07,5.2,,
1980-07-08,5.18,,
1980-07-09,5.2,,
1980-07-10,5.28,,
1980-07-11,5.33,,
1980-07-14,5.43,,
1980-07-15,5.3,,
1980-07-16,5.3,,
1980-07-17,5.44,,
1980-07-18,5.64,,
1980-07-21,5.55,,
1980-07-22,5.54,,
1980-07-23,5.4,,
1980-07-24,5.33,,
1980-07-25,5.35,,
1980-07-28,5.36,,
1980-07-29,5.43,,
1980-07-30,5.46,,
1980-07-31,5.45,,
1980-08-01,5.31,,
1980-08-04,5.25,,
1980-08-05,5.25,,
1980-08-06,5.35,,
1980-08-07,5.38,,
1980-08-08,5.53,,
1980-08-11,5.7,,
1980-08-12,5.85,,
1980-08-13,5.67,,
1980-08-14,5.9,,
1980-08-15,5.98,,
1980-08-18,5.78,,
1980-08-19,5.7,,
1980-08-20,5.89,,
1980-08-21,5.97,,
1980-08-22,6.18,,
1980-08-25,6.03,,
1980-08-26,6.11,,
1980-08-27,6.02,,
1980-08-28,5.79,,
1980-08-29,5.73,,
1980-09-02,5.72,,
1980-09-03,5.85,,
1980-09-04,5.93,,
1980-09-05,6.0,,
1980-09-08,5.73,,
1980-09-09,5.84,,
1980-09-10,5.98,,
1980-09-11,5.98,,
1980-09-12,5.9,,
1980-09-15,5.98,,
1980-09-16,6.17,,
1980-09-17,6.36,,
1980-09-18,6.47,,
1980-09-19,6.75,,
1980-09-22,6.96,,
1980-09-23,6.71,,
1980-09-24,6.72,,
1980-09-25,6.58,,
1980-09-26,6.26,,
1980-09-29,6.11,,
1980-09-30,6.38,,
1980-10-01,6.31,,
1980-10-02,6.39,,
1980-10-03,6.58,,
1980-10-06,6.91,,
1980-10-07,6.91,,
1980-10-08,6.9,,
1980-10-09,6.75,,
1980-10-10,6.7,,
1980-10-13,6.73,,
1980-10-14,6.75,,
1980-10-15,6.98,,
1980-10-16,7.07,,
1980-10-17,6.98,,
1980-10-20,6.95,,
1980-10-21,6.98,,
1980-10-22,7.14,,
1980-10-23,6.95,,
1980-10-24,6.86,,
1980-10-27,6.82,,
1980-10-28,6.71,,
1980-10-29,6.77,,
1980-10-30,6.23,,
1980-10-31,6.51,,
1980-11-03,6.81,,
1980-11-05,7.14,,
1980-11-06,6.97,,
1980-11-07,6.92,,
1980-11-10,6.9,,
1980-11-11,6.93,,
1980-11-12,7.24,,
1980-11-13,7.46,,
1980-11-14,7.54,,
1980-11-17,7.74,,
1980-11-18,7.98,,
1980-11-19,7.99,,
1980-11-20,8.03,,
1980-11-21,7.95,,
1980-11-24,8.03,,
1980-11-25,8.12,,
1980-11-26,8.39,,
1980-11-28,8.25,,
1980-12-01,7.94,,
1980-12-02,7.81,,
1980-12-03,7.66,,
1980-12-04,7.59,,
1980-12-05,7.54,,
1980-12-08,7.19,,
1980-12-09,7.16,,
1980-12-10,7.04,,
1980-12-11,6.97,,
1980-12-12,7.24,,
1980-12-15,7.31,,
1980-12-16,7.2,,
1980-12-17,7.07,,
1980-12-18,7.04,,
1980-12-19,6.9,,
1980-12-22,6.95,,
1980-12-23,6.86,,
1980-12-24,6.96,,
1980-12-26,7.26,,
1980-12-29,7.06,,
1980-12-30,7.22,,
1980-12-31,7.34,,
1981-01-02,7.26,,
1981-01-05,7.24,,
1981-01-06,7.09,,
1981-01-07,6.92,,
1981-01-08,6.86,,
1981-01-09,6.78,,
1981-01-12,6.65,,
1981-01-13,6.55,,
1981-01-14,6.53,,
1981-01-15,6.56,,
1981-01-16,6.61,,
1981-01-19,6.55,,
1981-01-20,6.53,,
1981-01-21,6.52,,
1981-01-22,6.53,,
1981-01-23,6.65,,
1981-01-26,6.65,,
1981-01-27,6.73,,
1981-01-28,6.8,,
1981-01-29,6.75,,
1981-01-30,6.48,,
1981-02-02,6.33,,
1981-02-03,6.56,,
1981-02-04,6.6,,
1981-02-05,6.77,,
1981-02-06,6.93,,
1981-02-09,6.9,,
1981-02-10,6.9,,
1981-02-11,6.81,,
1981-02-12,6.78,,
1981-02-13,6.72,,
1981-02-17,6.68,,
1981-02-18,6.55,,
1981-02-19,6.31,,
1981-02-20,6.11,,
1981-02-23,6.16,,
1981-02-24,6.16,,
1981-02-25,6.04,,
1981-02-26,6.12,,
1981-02-27,6.32,,
1981-03-02,6.42,,
1981-03-03,6.22,,
1981-03-04,6.11,,
1981-03-05,6.03,,
1981-03-06,6.18,,
1981-03-09,6.32,,
1981-03-10,6.43,,
1981-03-11,6.38,,
1981-03-12,6.7,,
1981-03-13,6.57,,
1981-03-16,6.78,,
1981-03-17,6.73,,
1981-03-18,6.92,,
1981-03-19,6.88,,
1981-03-20,6.91,,
1981-03-23,6.91,,
1981-03-24,7.0,,
1981-03-25,7.14,,
1981-03-26,7.07,,
1981-03-27,7.01,,
1981-03-30,7.0,,
1981-03-31,7.26,,
1981-04-01,7.27,,
1981-04-02,7.25,,
