date,COST,dcf,Deviation
1987-01-30,9.72,,
1987-02-02,9.69,,
1987-02-03,9.44,,
1987-02-04,9.75,,
1987-02-05,10.19,,
1987-02-06,9.81,,
1987-02-09,9.56,,
1987-02-10,9.56,,
1987-02-11,9.81,,
1987-02-12,10.13,,
1987-02-13,10.25,,
1987-02-17,10.56,,
1987-02-18,10.63,,
1987-02-19,10.88,,
1987-02-20,10.81,,
1987-02-23,10.72,,
1987-02-24,10.75,,
1987-02-25,10.97,,
1987-02-26,11.19,,
1987-02-27,11.06,,
1987-03-02,10.88,,
1987-03-03,10.81,,
1987-03-04,11.09,,
1987-03-05,11.19,,
1987-03-06,11.19,,
1987-03-09,11.13,,
1987-03-10,11.25,,
1987-03-11,11.44,,
1987-03-12,11.38,,
1987-03-13,12.13,,
1987-03-16,12.19,,
1987-03-17,12.38,,
1987-03-18,12.38,,
1987-03-19,12.38,,
1987-03-20,12.5,,
1987-03-23,12.44,,
1987-03-24,12.44,,
1987-03-25,12.44,,
1987-03-26,12.75,,
1987-03-27,12.75,,
1987-03-30,11.75,,
1987-03-31,12.0,,
1987-04-01,11.88,,
1987-04-02,11.88,,
1987-04-03,12.06,,
1987-04-06,12.25,,
1987-04-07,11.88,,
1987-04-08,12.0,,
1987-04-09,12.0,,
1987-04-10,11.88,,
1987-04-13,11.5,,
1987-04-14,10.63,,
1987-04-15,10.81,,
1987-04-16,10.88,,
1987-04-20,10.88,,
1987-04-21,10.88,,
1987-04-22,10.75,,
1987-04-23,10.69,,
1987-04-24,10.19,,
1987-04-27,9.94,,
1987-04-28,10.06,,
1987-04-29,9.63,,
1987-04-30,10.63,,
1987-05-01,10.56,,
1987-05-04,10.44,,
1987-05-05,10.38,,
1987-05-06,10.44,,
1987-05-07,10.44,,
1987-05-08,10.69,,
1987-05-11,10.63,,
1987-05-12,10.75,,
1987-05-13,11.0,,
1987-05-14,10.88,,
1987-05-15,11.0,,
1987-05-18,11.06,,
1987-05-19,10.81,,
1987-05-20,10.75,,
1987-05-21,10.94,,
1987-05-22,10.81,,
1987-05-26,10.81,,
1987-05-27,10.94,,
1987-05-28,11.0,,
1987-05-29,10.81,,
1987-06-01,10.63,,
1987-06-02,10.38,,
1987-06-03,10.56,,
1987-06-04,10.63,,
1987-06-05,10.88,,
1987-06-08,10.84,,
1987-06-09,11.06,,
1987-06-10,11.63,,
1987-06-11,11.69,,
1987-06-12,12.0,,
1987-06-15,11.59,,
1987-06-16,11.75,,
1987-06-17,11.75,,
1987-06-18,11.88,,
1987-06-19,11.63,,
1987-06-22,11.84,,
1987-06-23,11.72,,
1987-06-24,11.59,,
1987-06-25,11.5,,
1987-06-26,11.44,,
1987-06-29,11.44,,
1987-06-30,11.22,,
1987-07-01,11.25,,
1987-07-02,11.5,,
1987-07-06,11.38,,
1987-07-07,11.88,,
1987-07-08,11.69,,
1987-07-09,11.66,,
1987-07-10,11.81,,
1987-07-13,12.13,,
1987-07-14,12.25,,
1987-07-15,12.0,,
1987-07-16,11.94,,
1987-07-17,11.75,,
1987-07-20,11.69,,
1987-07-21,11.69,,
1987-07-22,11.63,,
1987-07-23,11.41,,
1987-07-24,11.56,,
1987-07-27,11.31,,
1987-07-28,11.38,,
1987-07-29,11.56,,
1987-07-30,11.94,,
1987-07-31,11.94,,
1987-08-03,12.06,,
1987-08-04,12.06,,
1987-08-05,12.06,,
1987-08-06,12.13,,
1987-08-07,12.31,,
1987-08-10,12.5,,
1987-08-11,12.88,,
1987-08-12,12.88,,
1987-08-13,12.69,,
1987-08-14,12.69,,
1987-08-17,12.56,,
1987-08-18,12.25,,
1987-08-19,12.19,,
1987-08-20,12.56,,
1987-08-21,12.88,,
1987-08-24,12.69,,
1987-08-25,12.75,,
1987-08-26,12.75,,
1987-08-27,12.75,,
1987-08-28,12.5,,
1987-08-31,12.5,,
1987-09-01,12.19,,
1987-09-02,12.19,,
1987-09-03,12.06,,
1987-09-04,11.94,,
1987-09-08,11.44,,
1987-09-09,11.28,,
1987-09-10,11.63,,
1987-09-11,11.63,,
1987-09-14,11.63,,
1987-09-15,11.34,,
1987-09-16,11.0,,
1987-09-17,10.88,,
1987-09-18,11.31,,
1987-09-21,10.94,,
1987-09-22,11.5,,
1987-09-23,11.56,,
1987-09-24,11.44,,
1987-09-25,11.81,,
1987-09-28,11.88,,
1987-09-29,11.75,,
1987-09-30,11.56,,
1987-10-01,11.81,,
1987-10-02,11.75,,
1987-10-05,11.69,,
1987-10-06,11.19,,
1987-10-07,10.94,,
1987-10-08,10.81,,
1987-10-09,10.19,,
1987-10-12,9.81,,
1987-10-13,9.75,,
1987-10-14,9.69,,
1987-10-15,9.38,,
1987-10-16,9.13,,
1987-10-19,8.0,,
1987-10-20,7.44,,
1987-10-21,8.19,,
1987-10-22,7.88,,
1987-10-23,7.56,,
1987-10-26,6.88,,
1987-10-27,7.06,,
1987-10-28,6.94,,
1987-10-29,7.44,,
1987-10-30,7.75,,
1987-11-02,8.0,,
1987-11-03,7.69,,
1987-11-04,7.75,,
1987-11-05,7.69,,
1987-11-06,7.56,,
1987-11-09,7.69,,
1987-11-10,7.44,,
1987-11-11,7.56,,
1987-11-12,7.31,,
1987-11-13,7.25,,
1987-11-16,7.19,,
1987-11-17,7.06,,
1987-11-18,6.94,,
1987-11-19,6.75,,
1987-11-20,6.81,,
1987-11-23,7.06,,
1987-11-24,7.31,,
1987-11-25,7.25,,
1987-11-27,7.0,,
1987-11-30,6.75,,
1987-12-01,6.63,,
1987-12-02,6.56,,
1987-12-03,6.06,,
1987-12-04,6.03,,
1987-12-07,6.13,,
1987-12-08,6.75,,
1987-12-09,7.03,,
1987-12-10,7.0,,
1987-12-11,7.0,,
1987-12-14,7.0,,
1987-12-15,6.97,,
1987-12-16,7.5,,
1987-12-17,7.38,,
1987-12-18,8.06,,
1987-12-21,8.19,,
1987-12-22,7.88,,
1987-12-23,8.16,,
1987-12-24,8.13,,
1987-12-28,7.75,,
1987-12-29,7.75,,
1987-12-30,8.19,,
1987-12-31,8.19,,
1988-01-04,8.38,,
1988-01-05,8.81,,
1988-01-06,8.75,,
1988-01-07,8.69,,
1988-01-08,7.94,,
1988-01-11,8.31,,
1988-01-12,8.06,,
1988-01-13,8.13,,
1988-01-14,8.0,,
1988-01-15,8.38,,
1988-01-18,8.69,,
1988-01-19,8.63,,
1988-01-20,8.44,,
1988-01-21,8.38,,
1988-01-22,8.31,,
1988-01-25,8.31,,
1988-01-26,8.47,,
1988-01-27,8.63,,
1988-01-28,8.72,,
1988-01-29,8.91,,
1988-02-01,9.0,,
1988-02-02,9.0,,
1988-02-03,8.94,,
1988-02-04,9.06,,
1988-02-05,9.25,,
1988-02-08,9.16,,
1988-02-09,9.13,,
1988-02-10,9.25,,
1988-02-11,9.56,,
1988-02-12,9.69,,
1988-02-16,9.88,,
1988-02-17,10.0,,
1988-02-18,9.81,,
1988-02-19,9.94,,
1988-02-22,10.0,,
1988-02-23,9.94,,
1988-02-24,10.0,,
1988-02-25,9.94,,
1988-02-26,9.91,,
1988-02-29,10.0,,
1988-03-01,9.78,,
1988-03-02,9.81,,
1988-03-03,9.88,,
1988-03-04,9.63,,
1988-03-07,9.38,,
1988-03-08,9.5,,
1988-03-09,9.56,,
1988-03-10,9.59,,
1988-03-11,9.5,,
1988-03-14,9.5,,
1988-03-15,9.56,,
1988-03-16,9.66,,
1988-03-17,9.72,,
1988-03-18,9.81,,
1988-03-21,9.69,,
1988-03-22,9.63,,
1988-03-23,9.63,,
1988-03-24,9.28,,
1988-03-25,9.25,,
1988-03-28,9.19,,
1988-03-29,9.44,,
1988-03-30,9.44,,
1988-03-31,9.38,,
1988-04-04,9.06,,
1988-04-05,9.13,,
1988-04-06,9.16,,
1988-04-07,9.31,,
1988-04-08,9.34,,
1988-04-11,9.44,,
1988-04-12,9.44,,
1988-04-13,9.44,,
1988-04-14,9.19,,
1988-04-15,9.0,,
1988-04-18,9.06,,
1988-04-19,9.19,,
1988-04-20,9.19,,
1988-04-21,9.19,,
1988-04-22,9.34,,
1988-04-25,9.47,,
1988-04-26,9.69,,
1988-04-27,9.69,,
1988-04-28,9.69,,
1988-04-29,9.5,,
1988-05-02,9.5,,
1988-05-03,9.56,,
1988-05-04,9.63,,
1988-05-05,9.56,,
1988-05-06,9.56,,
1988-05-09,9.5,,
1988-05-10,9.63,,
1988-05-11,9.44,,
1988-05-12,9.5,,
1988-05-13,9.5,,
1988-05-16,9.44,,
1988-05-17,9.25,,
1988-05-18,9.03,,
1988-05-19,9.03,,
1988-05-20,9.0,,
1988-05-23,8.94,,
1988-05-24,9.13,,
1988-05-25,9.0,,
1988-05-26,9.16,,
1988-05-27,9.0,,
1988-05-31,9.06,,
1988-06-01,9.5,,
1988-06-02,9.56,,
1988-06-03,9.56,,
1988-06-06,9.31,,
1988-06-07,9.13,,
1988-06-08,9.38,,
1988-06-09,9.69,,
1988-06-10,9.94,,
1988-06-13,9.94,,
1988-06-14,9.81,,
1988-06-15,9.75,,
1988-06-16,9.75,,
1988-06-17,9.94,,
1988-06-20,9.94,,
1988-06-21,9.88,,
1988-06-22,9.94,,
1988-06-23,9.88,,
1988-06-24,9.72,,
1988-06-27,9.38,,
1988-06-28,9.63,,
1988-06-29,9.5,,
1988-06-30,9.56,,
1988-07-01,9.44,,
1988-07-05,9.5,,
1988-07-06,9.38,,
1988-07-07,9.13,,
1988-07-08,9.06,,
1988-07-11,9.13,,
1988-07-12,9.06,,
1988-07-13,9.19,,
1988-07-14,9.0,,
1988-07-15,8.94,,
1988-07-18,8.84,,
1988-07-19,8.66,,
1988-07-20,8.81,,
1988-07-21,8.81,,
1988-07-22,8.63,,
1988-07-25,8.75,,
1988-07-26,8.69,,
1988-07-27,8.38,,
1988-07-28,8.56,,
1988-07-29,8.81,,
1988-08-01,8.81,,
1988-08-02,8.72,,
1988-08-03,8.94,,
1988-08-04,9.06,,
1988-08-05,9.06,,
1988-08-08,9.06,,
1988-08-09,8.97,,
1988-08-10,8.88,,
1988-08-11,8.69,,
1988-08-12,8.69,,
1988-08-15,8.5,,
1988-08-16,8.81,,
1988-08-17,8.94,,
1988-08-18,9.16,,
1988-08-19,9.09,,
1988-08-22,8.88,,
1988-08-23,8.94,,
1988-08-24,9.16,,
1988-08-25,9.0,,
1988-08-26,9.13,,
1988-08-29,9.25,,
1988-08-30,9.19,,
1988-08-31,9.22,,
1988-09-01,9.0,,
1988-09-02,9.13,,
1988-09-06,9.19,,
1988-09-07,9.31,,
1988-09-08,9.5,,
1988-09-09,9.69,,
1988-09-12,9.5,,
1988-09-13,9.5,,
1988-09-14,9.44,,
1988-09-15,9.38,,
1988-09-16,9.5,,
1988-09-19,9.56,,
1988-09-20,9.63,,
1988-09-21,9.81,,
1988-09-22,9.63,,
1988-09-23,9.56,,
1988-09-26,9.63,,
1988-09-27,9.63,,
1988-09-28,9.53,,
1988-09-29,9.56,,
1988-09-30,9.69,,
1988-10-03,9.56,,
1988-10-04,9.59,,
1988-10-05,9.69,,
1988-10-06,9.88,,
1988-10-07,10.03,,
1988-10-10,10.0,,
1988-10-11,9.81,,
1988-10-12,9.63,,
1988-10-13,9.81,,
1988-10-14,9.94,,
1988-10-17,10.03,,
1988-10-18,10.0,,
1988-10-19,10.06,,
1988-10-20,10.38,,
1988-10-21,10.44,,
1988-10-24,10.31,,
1988-10-25,10.06,,
1988-10-26,10.19,,
1988-10-27,10.06,,
1988-10-28,10.13,,
1988-10-31,10.0,,
1988-11-01,9.81,,
1988-11-02,9.81,,
1988-11-03,9.94,,
1988-11-04,9.94,,
1988-11-07,9.88,,
1988-11-08,10.0,,
1988-11-09,9.88,,
1988-11-10,9.91,,
1988-11-11,9.56,,
1988-11-14,9.5,,
1988-11-15,9.63,,
1988-11-16,9.25,,
1988-11-17,9.31,,
1988-11-18,9.41,,
1988-11-21,9.25,,
1988-11-22,9.25,,
1988-11-23,9.56,,
1988-11-25,9.34,,
1988-11-28,9.5,,
1988-11-29,9.75,,
1988-11-30,9.81,,
1988-12-01,9.78,,
1988-12-02,9.81,,
1988-12-05,9.88,,
1988-12-06,9.91,,
1988-12-07,9.94,,
1988-12-08,9.97,,
1988-12-09,9.88,,
1988-12-12,9.69,,
1988-12-13,9.81,,
1988-12-14,9.94,,
1988-12-15,10.03,,
1988-12-16,10.06,,
1988-12-19,10.0,,
1988-12-20,9.75,,
1988-12-21,9.56,,
1988-12-22,9.72,,
1988-12-23,9.63,,
1988-12-27,9.56,,
1988-12-28,9.5,,
1988-12-29,9.63,,
1988-12-30,9.38,,
1989-01-03,9.25,,
1989-01-04,9.44,,
1989-01-05,9.63,,
1989-01-06,9.66,,
1989-01-09,9.81,,
1989-01-10,9.75,,
1989-01-11,9.75,,
1989-01-12,9.63,,
1989-01-13,9.31,,
1989-01-16,9.38,,
1989-01-17,9.56,,
1989-01-18,9.13,,
1989-01-19,9.25,,
1989-01-20,9.13,,
1989-01-23,9.06,,
1989-01-24,9.44,,
1989-01-25,9.44,,
1989-01-26,9.44,,
1989-01-27,9.5,,
1989-01-30,9.44,,
1989-01-31,9.38,,
1989-02-01,9.19,,
1989-02-02,9.06,,
1989-02-03,9.19,,
1989-02-06,9.19,,
1989-02-07,9.31,,
1989-02-08,9.25,,
1989-02-09,9.09,,
1989-02-10,9.13,,
1989-02-13,9.03,,
1989-02-14,9.09,,
1989-02-15,9.03,,
1989-02-16,9.0,,
1989-02-17,9.06,,
1989-02-21,9.06,,
1989-02-22,9.19,,
1989-02-23,9.25,,
1989-02-24,9.19,,
1989-02-27,9.25,,
1989-02-28,9.25,,
1989-03-01,9.13,,
1989-03-02,9.25,,
1989-03-03,9.31,,
1989-03-06,9.25,,
1989-03-07,9.19,,
1989-03-08,9.19,,
1989-03-09,9.19,,
1989-03-10,9.06,,
1989-03-13,9.06,,
1989-03-14,9.13,,
1989-03-15,9.19,,
1989-03-16,9.19,,
1989-03-17,9.13,,
1989-03-20,9.0,,
1989-03-21,9.06,,
1989-03-22,8.94,,
1989-03-23,8.81,,
1989-03-27,8.81,,
1989-03-28,8.88,,
1989-03-29,8.94,,
1989-03-30,8.94,,
1989-03-31,9.06,,
1989-04-03,9.06,,
1989-04-04,9.0,,
1989-04-05,9.13,,
1989-04-06,9.13,,
1989-04-07,9.06,,
1989-04-10,9.25,,
1989-04-11,9.56,,
1989-04-12,9.69,,
1989-04-13,9.75,,
1989-04-14,9.81,,
1989-04-17,9.94,,
1989-04-18,10.34,,
1989-04-19,10.38,,
1989-04-20,10.19,,
1989-04-21,10.25,,
1989-04-24,10.19,,
1989-04-25,10.06,,
1989-04-26,10.03,,
1989-04-27,10.25,,
1989-04-28,10.19,,
1989-05-01,10.19,,
1989-05-02,10.13,,
1989-05-03,10.25,,
1989-05-04,10.19,,
1989-05-05,10.81,,
1989-05-08,10.69,,
1989-05-09,10.75,,
1989-05-10,10.88,,
1989-05-11,11.0,,
1989-05-12,11.44,,
1989-05-15,11.75,,
1989-05-16,11.69,,
1989-05-17,11.69,,
1989-05-18,11.69,,
1989-05-19,11.84,,
1989-05-22,11.69,,
1989-05-23,11.31,,
1989-05-24,11.16,,
1989-05-25,11.13,,
1989-05-26,11.19,,
1989-05-30,11.13,,
1989-05-31,11.13,,
1989-06-01,11.38,,
1989-06-02,11.78,,
1989-06-05,11.56,,
1989-06-06,11.31,,
1989-06-07,11.5,,
1989-06-08,11.53,,
1989-06-09,11.47,,
1989-06-12,11.44,,
1989-06-13,11.28,,
1989-06-14,11.34,,
1989-06-15,11.44,,
1989-06-16,11.81,,
1989-06-19,11.88,,
1989-06-20,10.25,,
1989-06-21,10.38,,
1989-06-22,10.06,,
1989-06-23,10.06,,
1989-06-26,10.5,,
1989-06-27,10.56,,
1989-06-28,10.5,,
1989-06-29,10.19,,
1989-06-30,10.0,,
1989-07-03,9.88,,
1989-07-05,9.94,,
1989-07-06,10.25,,
1989-07-07,10.56,,
1989-07-10,10.63,,
1989-07-11,10.5,,
1989-07-12,10.69,,
1989-07-13,10.66,,
1989-07-14,10.75,,
1989-07-17,10.56,,
1989-07-18,10.53,,
1989-07-19,10.63,,
1989-07-20,10.5,,
1989-07-21,10.5,,
1989-07-24,10.38,,
1989-07-25,10.5,,
1989-07-26,10.44,,
1989-07-27,10.56,,
1989-07-28,10.5,,
1989-07-31,10.94,,
1989-08-01,10.75,,
1989-08-02,10.81,,
1989-08-03,10.94,,
1989-08-04,10.5,,
1989-08-07,10.56,,
1989-08-08,10.63,,
1989-08-09,10.66,,
1989-08-10,10.69,,
1989-08-11,10.66,,
1989-08-14,10.69,,
1989-08-15,10.69,,
1989-08-16,10.78,,
1989-08-17,10.94,,
1989-08-18,10.81,,
1989-08-21,10.69,,
1989-08-22,10.81,,
1989-08-23,10.63,,
1989-08-24,10.69,,
1989-08-25,10.69,,
1989-08-28,10.75,,
1989-08-29,11.0,,
1989-08-30,11.0,,
1989-08-31,11.13,,
1989-09-01,11.06,,
1989-09-05,11.06,,
1989-09-06,10.97,,
1989-09-07,11.0,,
1989-09-08,11.0,,
1989-09-11,11.0,,
1989-09-12,11.06,,
1989-09-13,11.0,,
1989-09-14,11.0,,
1989-09-15,10.94,,
1989-09-18,11.06,,
1989-09-19,11.03,,
1989-09-20,11.06,,
1989-09-21,10.66,,
1989-09-22,10.59,,
1989-09-25,10.56,,
1989-09-26,10.63,,
1989-09-27,10.75,,
1989-09-28,10.81,,
1989-09-29,10.75,,
1989-10-02,10.63,,
1989-10-03,10.5,,
1989-10-04,10.56,,
1989-10-05,10.75,,
1989-10-06,10.88,,
1989-10-09,11.0,,
1989-10-10,11.19,,
1989-10-11,11.16,,
1989-10-12,11.25,,
1989-10-13,10.94,,
1989-10-16,10.44,,
1989-10-17,11.0,,
1989-10-18,11.31,,
1989-10-19,11.94,,
1989-10-20,11.81,,
1989-10-23,11.81,,
1989-10-24,11.88,,
1989-10-25,11.81,,
1989-10-26,11.44,,
1989-10-27,11.25,,
1989-10-30,11.19,,
1989-10-31,11.03,,
1989-11-01,11.06,,
1989-11-02,11.06,,
1989-11-03,11.06,,
1989-11-06,10.88,,
1989-11-07,10.66,,
1989-11-08,10.88,,
1989-11-09,10.91,,
1989-11-10,11.06,,
1989-11-13,10.94,,
1989-11-14,10.94,,
1989-11-15,11.38,,
1989-11-16,11.88,,
1989-11-17,12.31,,
1989-11-20,12.19,,
1989-11-21,12.13,,
1989-11-22,11.88,,
1989-11-24,12.06,,
1989-11-27,12.0,,
1989-11-28,11.75,,
1989-11-29,11.69,,
1989-11-30,11.69,,
1989-12-01,11.94,,
1989-12-04,12.0,,
1989-12-05,12.0,,
1989-12-06,11.5,,
1989-12-07,11.44,,
1989-12-08,11.31,,
1989-12-11,11.19,,
1989-12-12,11.06,,
1989-12-13,11.19,,
1989-12-14,11.06,,
1989-12-15,11.0,,
1989-12-18,10.63,,
1989-12-19,10.63,,
1989-12-20,11.0,,
1989-12-21,11.25,,
1989-12-22,11.38,,
1989-12-26,11.38,,
1989-12-27,11.5,,
1989-12-28,11.56,,
1989-12-29,11.56,,
1990-01-02,11.63,,
1990-01-03,11.81,,
1990-01-04,11.94,,
1990-01-05,12.0,,
1990-01-08,11.78,,
1990-01-09,11.69,,
1990-01-10,11.44,,
1990-01-11,11.0,,
1990-01-12,10.38,,
1990-01-15,10.25,,
1990-01-16,10.53,,
1990-01-17,10.22,,
1990-01-18,10.06,,
1990-01-19,10.09,,
1990-01-22,9.63,,
1990-01-23,9.81,,
1990-01-24,9.88,,
1990-01-25,9.94,,
1990-01-26,10.0,,
1990-01-29,9.81,,
1990-01-30,9.75,,
1990-01-31,9.84,,
1990-02-01,9.75,,
1990-02-02,9.94,,
1990-02-05,9.75,,
1990-02-06,9.84,,
1990-02-07,9.63,,
1990-02-08,9.56,,
1990-02-09,9.63,,
1990-02-12,9.56,,
1990-02-13,9.25,,
1990-02-14,9.38,,
1990-02-15,9.56,,
1990-02-16,9.56,,
1990-02-20,9.5,,
1990-02-21,9.69,,
1990-02-22,9.56,,
1990-02-23,9.44,,
1990-02-26,9.56,,
1990-02-27,9.69,,
1990-02-28,9.56,,
1990-03-01,9.66,,
1990-03-02,9.81,,
1990-03-05,9.63,,
1990-03-06,9.97,,
1990-03-07,9.88,,
1990-03-08,10.13,,
1990-03-09,10.31,,
1990-03-12,10.38,,
1990-03-13,10.19,,
1990-03-14,10.25,,
1990-03-15,10.31,,
1990-03-16,10.25,,
1990-03-19,10.25,,
1990-03-20,10.25,,
1990-03-21,10.13,,
1990-03-22,10.06,,
1990-03-23,10.0,,
1990-03-26,10.0,,
1990-03-27,10.13,,
1990-03-28,9.81,,
1990-03-29,9.88,,
1990-03-30,9.69,,
1990-04-02,9.56,,
1990-04-03,9.44,,
1990-04-04,9.41,,
1990-04-05,9.34,,
1990-04-06,9.31,,
1990-04-09,9.0,,
1990-04-10,8.69,,
1990-04-11,8.78,,
1990-04-12,9.13,,
1990-04-16,9.5,,
1990-04-17,9.5,,
1990-04-18,9.38,,
1990-04-19,9.19,,
1990-04-20,9.0,,
1990-04-23,8.69,,
1990-04-24,8.63,,
1990-04-25,8.88,,
1990-04-26,8.81,,
1990-04-27,8.5,,
1990-04-30,8.56,,
1990-05-01,8.41,,
1990-05-02,8.56,,
1990-05-03,8.56,,
1990-05-04,8.38,,
1990-05-07,8.25,,
1990-05-08,8.31,,
1990-05-09,8.31,,
1990-05-10,8.31,,
1990-05-11,8.38,,
1990-05-14,8.44,,
1990-05-15,8.56,,
1990-05-16,8.91,,
1990-05-17,9.38,,
1990-05-18,9.38,,
1990-05-21,9.75,,
1990-05-22,9.63,,
1990-05-23,9.31,,
1990-05-24,9.06,,
1990-05-25,8.91,,
1990-05-29,9.19,,
1990-05-30,9.56,,
1990-05-31,9.59,,
1990-06-01,9.56,,
1990-06-04,9.81,,
1990-06-05,9.19,,
1990-06-06,9.38,,
1990-06-07,9.31,,
1990-06-08,9.25,,
1990-06-11,9.31,,
1990-06-12,9.28,,
1990-06-13,9.19,,
1990-06-14,9.19,,
1990-06-15,9.19,,
1990-06-18,9.16,,
1990-06-19,9.25,,
1990-06-20,9.22,,
1990-06-21,9.38,,
1990-06-22,9.19,,
1990-06-25,9.69,,
1990-06-26,10.06,,
1990-06-27,10.38,,
1990-06-28,10.38,,
1990-06-29,10.38,,
1990-07-02,10.25,,
1990-07-03,10.56,,
1990-07-05,10.63,,
1990-07-06,10.75,,
1990-07-09,10.66,,
1990-07-10,10.5,,
1990-07-11,10.44,,
1990-07-12,10.63,,
1990-07-13,10.78,,
1990-07-16,10.88,,
1990-07-17,10.63,,
1990-07-18,10.31,,
1990-07-19,10.38,,
1990-07-20,10.16,,
1990-07-23,9.94,,
1990-07-24,9.88,,
1990-07-25,10.06,,
1990-07-26,9.69,,
1990-07-27,9.81,,
1990-07-30,9.75,,
1990-07-31,10.0,,
1990-08-01,9.94,,
1990-08-02,9.5,,
1990-08-03,9.25,,
1990-08-06,8.94,,
1990-08-07,8.56,,
1990-08-08,8.84,,
1990-08-09,9.38,,
1990-08-10,9.0,,
1990-08-13,8.84,,
1990-08-14,8.88,,
1990-08-15,8.38,,
1990-08-16,8.38,,
1990-08-17,8.16,,
1990-08-20,8.13,,
1990-08-21,7.75,,
1990-08-22,7.94,,
1990-08-23,7.88,,
1990-08-24,8.16,,
1990-08-27,8.53,,
1990-08-28,8.31,,
1990-08-29,8.34,,
1990-08-30,8.25,,
1990-08-31,8.31,,
1990-09-04,8.13,,
1990-09-05,8.44,,
1990-09-06,8.09,,
1990-09-07,8.0,,
1990-09-10,7.94,,
1990-09-11,7.88,,
1990-09-12,7.94,,
1990-09-13,7.81,,
1990-09-14,7.88,,
1990-09-17,8.0,,
1990-09-18,7.94,,
1990-09-19,7.88,,
1990-09-20,7.66,,
1990-09-21,7.81,,
1990-09-24,7.53,,
1990-09-25,7.38,,
1990-09-26,7.31,,
1990-09-27,7.13,,
1990-09-28,7.31,,
1990-10-01,7.75,,
1990-10-02,7.63,,
1990-10-03,7.56,,
1990-10-04,7.63,,
